Calibrator=700
Task 1- Release:  0.100, Completion:  0.182, Response: 0.082, WCRT: 0.082, Next Release:  0.400
Task 1- Release:  2.500, Completion:  2.594, Response: 0.094, WCRT: 0.096, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.687, Response: 0.187, WCRT: 0.188, Next Release:  2.900
Task 3- Release:  2.500, Completion:  2.782, Response: 0.281, WCRT: 0.284, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.894, Response: 0.094, WCRT: 0.096, Next Release:  3.100
Task 2- Release:  2.900, Completion:  2.993, Response: 0.093, WCRT: 0.188, Next Release:  3.300
Task 1- Release:  3.100, Completion:  3.195, Response: 0.095, WCRT: 0.096, Next Release:  3.400
Task 3- Release:  3.100, Completion:  3.287, Response: 0.187, WCRT: 0.284, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.394, Response: 0.094, WCRT: 0.188, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.495, Response: 0.095, WCRT: 0.096, Next Release:  3.700
Task 4- Release:  2.500, Completion:  3.537, Response: 1.037, WCRT: 1.037, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.796, Response: 0.096, WCRT: 0.096, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.887, Response: 0.187, WCRT: 0.188, Next Release:  4.100
Task 3- Release:  3.700, Completion:  3.979, Response: 0.279, WCRT: 0.284, Next Release:  4.300
Task 1- Release:  4.000, Completion:  4.095, Response: 0.095, WCRT: 0.096, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.194, Response: 0.094, WCRT: 0.188, Next Release:  4.500
Task 1- Release:  4.300, Completion:  4.395, Response: 0.095, WCRT: 0.096, Next Release:  4.600
Task 3- Release:  4.300, Completion:  4.491, Response: 0.191, WCRT: 0.284, Next Release:  4.900
Task 2- Release:  4.500, Completion:  4.594, Response: 0.094, WCRT: 0.188, Next Release:  4.900
Task 1- Release:  4.600, Completion:  4.694, Response: 0.094, WCRT: 0.096, Next Release:  4.900
Task 4- Release:  3.700, Completion:  4.738, Response: 1.038, WCRT: 1.038, Next Release:  4.900
Task 1- Release:  4.900, Completion:  4.996, Response: 0.096, WCRT: 0.096, Next Release:  5.200
Task 2- Release:  4.900, Completion:  5.091, Response: 0.191, WCRT: 0.191, Next Release:  5.300
Task 3- Release:  4.900, Completion:  5.185, Response: 0.285, WCRT: 0.285, Next Release:  5.500
Task 1- Release:  5.200, Completion:  5.296, Response: 0.096, WCRT: 0.096, Next Release:  5.500
Task 2- Release:  5.300, Completion:  5.395, Response: 0.095, WCRT: 0.191, Next Release:  5.700
Task 1- Release:  5.500, Completion:  5.595, Response: 0.095, WCRT: 0.096, Next Release:  5.800
Task 3- Release:  5.500, Completion:  5.690, Response: 0.190, WCRT: 0.285, Next Release:  6.100
Task 2- Release:  5.700, Completion:  5.795, Response: 0.095, WCRT: 0.191, Next Release:  6.100
Task 1- Release:  5.800, Completion:  5.893, Response: 0.093, WCRT: 0.096, Next Release:  6.100
Task 4- Release:  4.900, Completion:  5.947, Response: 1.047, WCRT: 1.047, Next Release:  6.100


Calibrator=900
Task 1- Release:  0.100, Completion:  0.205, Response: 0.105, WCRT: 0.105, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.311, Response: 0.211, WCRT: 0.211, Next Release:  0.500
Task 1- Release:  0.400, Completion:  0.509, Response: 0.109, WCRT: 0.109, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.615, Response: 0.115, WCRT: 0.211, Next Release:  0.900
Task 3- Release:  0.100, Completion:  0.651, Response: 0.551, WCRT: 0.551, Next Release:  0.700
Task 1- Release:  0.700, Completion:  0.806, Response: 0.106, WCRT: 0.109, Next Release:  1.000
Task 1- Release:  1.000, Completion:  1.106, Response: 0.106, WCRT: 0.109, Next Release:  1.300
Task 2- Release:  0.900, Completion:  1.113, Response: 0.213, WCRT: 0.213, Next Release:  1.300
Task 3- Release:  0.700, Completion:  1.126, Response: 0.426, WCRT: 0.551, Next Release:  1.300
Task 4- Release:  0.100, Completion:  1.295, Response: 1.195, WCRT: 1.195, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.405, Response: 0.105, WCRT: 0.109, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.512, Response: 0.212, WCRT: 0.213, Next Release:  1.700
Task 1- Release:  1.600, Completion:  1.705, Response: 0.105, WCRT: 0.109, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.810, Response: 0.110, WCRT: 0.213, Next Release:  2.100
Task 3- Release:  1.300, Completion:  1.826, Response: 0.526, WCRT: 0.551, Next Release:  1.900
Task 1- Release:  1.900, Completion:  2.051, Response: 0.151, WCRT: 0.151, Next Release:  2.200
Task 1- Release:  2.200, Completion:  2.304, Response: 0.104, WCRT: 0.151, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.309, Response: 0.209, WCRT: 0.213, Next Release:  2.500
Task 3- Release:  1.900, Completion:  2.364, Response: 0.464, WCRT: 0.551, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.605, Response: 0.105, WCRT: 0.151, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.708, Response: 0.208, WCRT: 0.213, Next Release:  2.900
Task 1- Release:  2.800, Completion:  2.904, Response: 0.104, WCRT: 0.151, Next Release:  3.100
Task 2- Release:  2.900, Completion:  3.058, Response: 0.158, WCRT: 0.213, Next Release:  3.300
Task 3- Release:  2.500, Completion:  3.071, Response: 0.571, WCRT: 0.571, Next Release:  3.100
Task 4- Release:  1.300, Completion:  3.072, Response: 1.772, WCRT: 1.772, Next Release:  2.500 ==> Task 4 violates Deadline!
Task 1- Release:  3.100, Completion:  3.203, Response: 0.103, WCRT: 0.151, Next Release:  3.400
Task 1- Release:  3.400, Completion:  3.507, Response: 0.107, WCRT: 0.151, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.512, Response: 0.212, WCRT: 0.213, Next Release:  3.700
Task 3- Release:  3.100, Completion:  3.521, Response: 0.421, WCRT: 0.571, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.805, Response: 0.105, WCRT: 0.151, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.909, Response: 0.209, WCRT: 0.213, Next Release:  4.100
Task 1- Release:  4.000, Completion:  4.147, Response: 0.147, WCRT: 0.151, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.251, Response: 0.151, WCRT: 0.213, Next Release:  4.500
Task 3- Release:  3.700, Completion:  4.290, Response: 0.590, WCRT: 0.590, Next Release:  4.300
Task 4- Release:  2.500, Completion:  4.293, Response: 1.793, WCRT: 1.793, Next Release:  3.700 ==> Task 4 violates Deadline!
Task 1- Release:  4.300, Completion:  4.406, Response: 0.106, WCRT: 0.151, Next Release:  4.600
Task 1- Release:  4.600, Completion:  4.705, Response: 0.105, WCRT: 0.151, Next Release:  4.900
Task 2- Release:  4.500, Completion:  4.711, Response: 0.211, WCRT: 0.213, Next Release:  4.900
Task 3- Release:  4.300, Completion:  4.724, Response: 0.424, WCRT: 0.590, Next Release:  4.900
Task 1- Release:  4.900, Completion:  5.061, Response: 0.161, WCRT: 0.161, Next Release:  5.200
Task 2- Release:  4.900, Completion:  5.168, Response: 0.268, WCRT: 0.268, Next Release:  5.300
Task 1- Release:  5.200, Completion:  5.304, Response: 0.104, WCRT: 0.161, Next Release:  5.500
Task 2- Release:  5.300, Completion:  5.410, Response: 0.110, WCRT: 0.268, Next Release:  5.700
Task 3- Release:  4.900, Completion:  5.486, Response: 0.586, WCRT: 0.590, Next Release:  5.500
Task 1- Release:  5.500, Completion:  5.605, Response: 0.105, WCRT: 0.161, Next Release:  5.800
Task 1- Release:  5.800, Completion:  5.904, Response: 0.104, WCRT: 0.161, Next Release:  6.100
Task 2- Release:  5.700, Completion:  5.909, Response: 0.209, WCRT: 0.268, Next Release:  6.100
Task 3- Release:  5.500, Completion:  5.919, Response: 0.419, WCRT: 0.590, Next Release:  6.100
Task 4- Release:  3.700, Completion:  5.931, Response: 2.231, WCRT: 2.231, Next Release:  4.900 ==> Task 4 violates Deadline!
