Calibrator=750
Task 1- Release:  0.100, Completion:  0.187, Response: 0.087, WCRT: 0.087, Next Release:  0.400
Task 1- Release:  4.300, Completion:  4.414, Response: 0.114, WCRT: 0.160, Next Release:  4.600
Task 3- Release:  3.700, Completion:  4.424, Response: 0.724, WCRT: 0.733, Next Release:  4.300 ==> Task 3 violates Deadline!
Task 1- Release:  4.600, Completion:  4.710, Response: 0.110, WCRT: 0.160, Next Release:  4.900
Task 2- Release:  4.500, Completion:  4.720, Response: 0.220, WCRT: 0.247, Next Release:  4.900
Task 3- Release:  4.300, Completion:  4.755, Response: 0.455, WCRT: 0.733, Next Release:  4.900
Task 4- Release:  1.300, Completion:  4.778, Response: 3.477, WCRT: 3.477, Next Release:  2.500 ==> Task 4 violates Deadline!
WARNING!!!
Task 1- Release:  4.900, Completion:  5.011, Response: 0.111, WCRT: 0.160, Next Release:  5.200
Task 2- Release:  4.900, Completion:  5.174, Response: 0.274, WCRT: 0.274, Next Release:  5.300
Task 1- Release:  5.200, Completion:  5.311, Response: 0.111, WCRT: 0.160, Next Release:  5.500
Task 2- Release:  5.300, Completion:  5.420, Response: 0.120, WCRT: 0.274, Next Release:  5.700
Task 1- Release:  5.500, Completion:  5.610, Response: 0.110, WCRT: 0.160, Next Release:  5.800
Task 3- Release:  4.900, Completion:  5.614, Response: 0.714, WCRT: 0.733, Next Release:  5.500 ==> Task 3 violates Deadline!
Task 1- Release:  5.800, Completion:  5.911, Response: 0.111, WCRT: 0.160, Next Release:  6.100
Task 2- Release:  5.700, Completion:  5.922, Response: 0.222, WCRT: 0.274, Next Release:  6.100
Task 3- Release:  5.500, Completion:  5.948, Response: 0.448, WCRT: 0.733, Next Release:  6.100
WARNING!!!
Task 1- Release:  6.100, Completion:  6.210, Response: 0.110, WCRT: 0.160, Next Release:  6.400
Task 2- Release:  6.100, Completion:  6.320, Response: 0.220, WCRT: 0.274, Next Release:  6.500
Task 1- Release:  6.400, Completion:  6.511, Response: 0.111, WCRT: 0.160, Next Release:  6.700
Task 2- Release:  6.500, Completion:  6.620, Response: 0.120, WCRT: 0.274, Next Release:  6.900
Task 3- Release:  6.100, Completion:  6.670, Response: 0.570, WCRT: 0.733, Next Release:  6.700
Task 4- Release:  2.500, Completion:  6.682, Response: 4.182, WCRT: 4.182, Next Release:  3.700 ==> Task 4 violates Deadline!
Task 1- Release:  6.700, Completion:  6.812, Response: 0.112, WCRT: 0.160, Next Release:  7.000
Task 1- Release:  7.000, Completion:  7.164, Response: 0.164, WCRT: 0.164, Next Release:  7.300
Task 2- Release:  6.900, Completion:  7.175, Response: 0.275, WCRT: 0.275, Next Release:  7.300
Task 3- Release:  6.700, Completion:  7.195, Response: 0.495, WCRT: 0.733, Next Release:  7.300
WARNING!!!
Task 1- Release:  7.300, Completion:  7.409, Response: 0.109, WCRT: 0.164, Next Release:  7.600
Task 2- Release:  7.300, Completion:  7.519, Response: 0.219, WCRT: 0.275, Next Release:  7.700
Task 1- Release:  7.600, Completion:  7.710, Response: 0.110, WCRT: 0.164, Next Release:  7.900
Task 2- Release:  7.700, Completion:  7.820, Response: 0.120, WCRT: 0.275, Next Release:  8.100
Task 3- Release:  7.300, Completion:  7.849, Response: 0.549, WCRT: 0.733, Next Release:  7.900
Task 1- Release:  7.900, Completion:  8.013, Response: 0.113, WCRT: 0.164, Next Release:  8.200
Task 1- Release:  8.200, Completion:  8.308, Response: 0.108, WCRT: 0.164, Next Release:  8.500
Task 2- Release:  8.100, Completion:  8.318, Response: 0.218, WCRT: 0.275, Next Release:  8.500
Task 3- Release:  7.900, Completion:  8.388, Response: 0.488, WCRT: 0.733, Next Release:  8.500
Task 4- Release:  3.700, Completion:  8.434, Response: 4.734, WCRT: 4.734, Next Release:  4.900 ==> Task 4 violates Deadline!
WARNING!!!
Task 1- Release:  8.500, Completion:  8.611, Response: 0.111, WCRT: 0.164, Next Release:  8.800
Task 2- Release:  8.500, Completion:  8.722, Response: 0.222, WCRT: 0.275, Next Release:  8.900
Task 1- Release:  8.800, Completion:  8.906, Response: 0.106, WCRT: 0.164, Next Release:  9.100
Task 2- Release:  8.900, Completion:  9.016, Response: 0.116, WCRT: 0.275, Next Release:  9.300
